Label	Clade
Genome59	Clade 01
Genome77	Clade 01
Genome62	Clade 01
Genome69	Clade 01
Genome74	Clade 01
Genome82	Clade 01
Genome65	Clade 01
Genome83	Clade 01
Genome84	Clade 01
Genome78	Clade 01
Genome79	Clade 01
Genome52	Clade 01
Genome61	Clade 01
Genome68	Clade 01
Genome54	Clade 01
Genome56	Clade 01
Genome60	Clade 01
Genome66	Clade 01
Genome51	Clade 01
Genome53	Clade 01
Genome58	Clade 01
Genome76	Clade 01
Genome45	Clade 01
Genome11	Clade 01
Genome46	Clade 01
Genome41	Clade 01
Genome91	Clade 01
Genome39	Clade 01
Genome38	Clade 01
Genome92	Clade 01
Genome04	Clade 01
Genome36	Clade 01
Genome15	Clade 01
Genome75	Clade 01
Genome42	Clade 01
Genome43	Clade 01
Genome104	Clade 01
Genome55	Clade 01
Genome98	Clade 01
Genome10	Clade 01
Genome72	Clade 01
Genome102	Clade 01
Genome70	Clade 01
Genome80	Clade 01
Genome101	Clade 01
Genome99	Clade 01
Genome100	Clade 01
Genome09	Clade 01
Genome103	Clade 01
Genome64	Clade 01
Genome96	Clade 01
Genome67	Clade 01
Genome87	Clade 01
Genome95	Clade 01
Genome93	Clade 01
Genome94	Clade 01
Genome97	Clade 01
Genome86	Clade 01
Genome88	Clade 01
Genome07	Clade 01
Genome89	Clade 01
Genome35	Clade 01
Genome106	Clade 01
Genome12	Clade 01
Genome105	Clade 01
Genome30	Clade 01
Genome81	Clade 01
Genome25	Clade 01
Genome34	Clade 01
Genome28	Clade 01
Genome26	Clade 01
Genome31	Clade 01
Genome29	Clade 01
Genome32	Clade 01
Genome27	Clade 01
Genome33	Clade 01
Genome24	Clade 01
Genome57	Clade 01
Genome19	Clade 01
Genome20	Clade 01
Genome18	Clade 01
Genome22	Clade 01
Genome21	Clade 01
Genome23	Clade 01
Genome44	Clade 01
Genome90	Clade 01
Genome16	Clade 01
Genome71	Clade 01
Genome08	Clade 02
Genome47	Clade 02
Genome48	Clade 02
Genome17	Clade 04
Genome73	Clade 04
Genome14	Clade 04
Genome40	Clade 04
Genome13	Clade 04
Genome37	Clade 04
Genome85	Clade 04
Genome01	Clade 04
Genome02	Clade 04
Genome03	Clade 03
Genome63	Clade 03
Genome05	Clade 03
Genome06	Clade 03
Genome49	Clade 03
Genome50	Clade 03