	Sample01	Sample02	Sample03	Sample04	Sample05	Sample06	Sample07	Sample08	Sample09	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample40	Sample41	Sample42	Sample43	Sample44	Sample45	Sample46	Sample47	Sample48	Sample49	Sample50	Sample51	Sample52	Sample53	Sample54	Sample55	Sample56	Sample57	Sample58	Sample59	Sample60	Sample61	Sample62	Sample63	Sample64	Sample65	Sample66	Sample67	Sample68	Sample69	Sample70	Sample71	Sample72	Sample73	Sample74	Sample75	Sample76	Sample77	Sample78	Sample79	Sample80	Sample81	Sample82	Sample83	Sample84	Sample85	Sample86	Sample87	Sample88	Sample89	Sample90	Sample91	Sample92	Sample93	Sample94	Sample95
Sample01	0	0.051608	0.0788256	0.0724788	0.0882637	0.0817453	0.113353	0.0791944	0.0599669	0.0621831	0.05438	0.0556025	0.0522158	0.0669764	0.0776207	0.0982032	0.0787848	0.0752425	0.0741059	0.0860531	0.116157	0.0910963	0.0635756	0.0876996	0.0638496	0.0686288	0.0653369	0.0812652	0.0768763	0.0723406	0.074396	0.0678547	0.066412	0.0600164	0.0575785	0.0602646	0.0618172	0.0422758	0.0586334	0.0687541	0.0637398	0.111699	0.107168	0.0578334	0.0635483	0.0709514	0.0608422	0.0594032	0.0782989	0.0824541	0.0799845	0.0571651	0.0559095	0.0738538	0.0643201	0.0948599	0.0651655	0.0565317	0.0863968	0.0672769	0.0753169	0.088993	0.0670363	0.0812652	0.0794008	0.0830849	0.0607663	0.07339	0.0747617	0.0848014	0.0567792	0.0669465	0.0789891	0.0817014	0.0722372	0.0513178	0.0611728	0.065769	0.0682552	0.0797333	0.0563305	0.0670063	0.085858	0.0785411	0.0412562	0.0601403	0.0739256	0.108738	0.0515886	0.0633579	0.0813955	0.0568244	0.0713192	0.0820096	0.0736033
Sample02	0.051608	0	0.0808766	0.159146	0.0873952	0.0923891	0.113259	0.106524	0.0572108	0.0616615	0.0900042	0.0508015	0.09343	0.098599	0.0850391	0.0957173	0.084471	0.0998779	0.113823	0.103145	0.0967193	0.0785817	0.0806624	0.112152	0.0599917	0.0680698	0.0630606	0.119368	0.105654	0.10148	0.0996734	0.0959655	0.100359	0.0746517	0.0599669	0.0738897	0.118622	0.0759181	0.0740698	0.0878527	0.0556025	0.0902745	0.0867434	0.0533012	0.054655	0.0540236	0.0819213	0.0581372	0.0642645	0.100916	0.0829037	0.0853743	0.0555807	0.136	0.0562637	0.113729	0.0672166	0.0564421	0.0819654	0.0760318	0.0785411	0.14999	0.087043	0.100359	0.0707855	0.0751681	0.0702265	0.071018	0.0763368	0.10359	0.0627925	0.0737463	0.0689745	0.0622357	0.0753169	0.0746883	0.0691327	0.0699338	0.0801951	0.0742869	0.087043	0.0796083	0.0959655	0.0829037	0.0504805	0.0731073	0.141125	0.128932	0.0507068	0.0618172	0.0693872	0.121459	0.0824541	0.0707523	0.0594275
Sample03	0.0788256	0.0808766	0	0.0766442	0.0442018	0.12584	0.181002	0.0926757	0.0970374	0.153758	0.0665893	0.113353	0.0948599	0.0858093	0.0747617	0.193331	0.169279	0.121912	0.114013	0.091822	0.108822	0.126215	0.0724788	0.0959655	0.0923321	0.0799425	0.0902745	0.114877	0.111609	0.114587	0.213325	0.0930801	0.13126	0.114204	0.103367	0.122717	0.0757669	0.0984667	0.107905	0.11566	0.0937829	0.103071	0.0960278	0.0787848	0.10359	0.114299	0.0774628	0.0882637	0.126974	0.0940793	0.0815263	0.0937829	0.0857123	0.0968463	0.12214	0.169279	0.129199	0.138407	0.154223	0.156129	0.201619	0.0867434	0.127747	0.0931964	0.0989318	0.100428	0.08157	0.0999463	0.111251	0.12634	0.163791	0.0955937	0.112518	0.0707523	0.12723	0.115562	0.113353	0.102777	0.132399	0.181002	0.0753169	0.147104	0.167688	0.168318	0.0624468	0.0840501	0.0701612	0.136314	0.121685	0.0950421	0.110807	0.0771099	0.188686	0.107412	0.0668569
Sample04	0.0724788	0.159146	0.0766442	0	0.0971654	0.132833	0.147707	0.0780582	0.103293	0.131968	0.0791533	0.164955	0.0552334	0.0930801	0.085858	0.0892038	0.117785	0.0717584	0.0603894	0.074615	0.120456	0.125591	0.106444	0.0659142	0.0606906	0.0683172	0.086102	0.0764518	0.0850869	0.0732484	0.0774628	0.0781383	0.0655091	0.0862	0.157362	0.0801951	0.0668569	0.0579266	0.0706202	0.0925608	0.0968463	0.156865	0.0930221	0.144959	0.117065	0.183572	0.066827	0.0862983	0.123183	0.100916	0.10359	0.0618692	0.0788664	0.0558215	0.119368	0.136314	0.0961527	0.0782989	0.113166	0.081092	0.0837258	0.0623675	0.102851	0.101126	0.12974	0.0927908	0.0558875	0.131542	0.0944978	0.0662649	0.0979413	0.0789891	0.110807	0.111699	0.0765671	0.0920479	0.0762603	0.0704228	0.0785817	0.100428	0.0565541	0.0939605	0.190693	0.112794	0.0876487	0.113823	0.054149	0.126089	0.166759	0.0957792	0.11197	0.0754664	0.0915974	0.109161	0.118622
Sample05	0.0882637	0.0873952	0.0442018	0.0971654	0	0.116861	0.181002	0.07339	0.0795667	0.13663	0.0638221	0.157865	0.106524	0.0884707	0.100428	0.191731	0.194429	0.166759	0.126719	0.0917095	0.100916	0.120018	0.146312	0.108991	0.0709847	0.0648533	0.0783795	0.149777	0.10774	0.156373	0.231311	0.0903831	0.148524	0.126974	0.127359	0.132399	0.0842834	0.105109	0.0978761	0.116457	0.0906012	0.097811	0.0887833	0.0883153	0.0921614	0.102631	0.0981375	0.0746517	0.118097	0.0817014	0.0931382	0.117475	0.0887833	0.104955	0.16615	0.172288	0.125715	0.14999	0.153298	0.153298	0.210114	0.0974224	0.140603	0.0814391	0.093842	0.106524	0.0915414	0.107494	0.13759	0.102268	0.134163	0.0881091	0.106444	0.0785817	0.119909	0.122833	0.134163	0.0983347	0.150203	0.121912	0.105498	0.148319	0.191209	0.170592	0.0602397	0.101126	0.0655667	0.167688	0.113446	0.0940793	0.105576	0.102777	0.194988	0.101693	0.0754664
Sample06	0.0817453	0.0923891	0.12584	0.132833	0.116861	0	0.0662942	0.212502	0.0825436	0.091041	0.209345	0.100083	0.115463	0.0968463	0.0849439	0.0994022	0.0848964	0.0873447	0.0933131	0.205675	0.117888	0.0879038	0.121798	0.0884189	0.132833	0.10857	0.0931382	0.0993347	0.0617393	0.0849439	0.0728967	0.146312	0.0909306	0.101908	0.0969736	0.0950421	0.139916	0.084424	0.0682243	0.0753916	0.0732131	0.112518	0.121346	0.104191	0.0762603	0.0740698	0.116357	0.0971654	0.0776603	0.218593	0.0999463	0.0994698	0.11676	0.128007	0.098599	0.0929642	0.0850869	0.134163	0.113823	0.0970374	0.103965	0.117888	0.0905466	0.211692	0.0940793	0.0886267	0.0846595	0.0747985	0.0693553	0.215885	0.0806624	0.0848014	0.0884707	0.111429	0.112152	0.11894	0.109246	0.0878016	0.0972295	0.13084	0.136314	0.0936061	0.0893096	0.086102	0.0818332	0.102997	0.16437	0.13126	0.103071	0.0835416	0.0914855	0.134464	0.0886788	0.0976162	0.102052
Sample07	0.113353	0.113259	0.181002	0.147707	0.181002	0.0662942	0	0.223483	0.0822313	0.111251	0.276697	0.107168	0.172984	0.124011	0.10807	0.0917095	0.0860531	0.11028	0.124491	0.25242	0.127359	0.097681	0.137429	0.0902203	0.169279	0.157362	0.11566	0.0897357	0.0591609	0.0936649	0.0676103	0.121234	0.108907	0.0930221	0.127877	0.103219	0.110543	0.105264	0.108822	0.104724	0.10976	0.164662	0.201619	0.130012	0.109076	0.109502	0.130701	0.116057	0.11028	0.283502	0.114299	0.118306	0.157362	0.177395	0.0797333	0.0721684	0.117681	0.141653	0.139071	0.116457	0.11298	0.157113	0.108654	0.270747	0.0818772	0.0874964	0.107576	0.0708186	0.0558655	0.18918	0.116257	0.115169	0.104648	0.1314	0.12237	0.117992	0.118097	0.100916	0.0959033	0.104116	0.146312	0.0752797	0.0608422	0.0860042	0.111699	0.096656	0.172635	0.111429	0.123892	0.113729	0.116357	0.194429	0.119583	0.122601	0.203604
Sample08	0.0791944	0.106524	0.0926757	0.0780582	0.07339	0.212502	0.223483	0	0.0500511	0.0620782	0.0458571	0.144959	0.0898429	0.127359	0.178567	0.132255	0.187713	0.159933	0.134163	0.0502745	0.0953477	0.115957	0.143092	0.161274	0.106684	0.0482632	0.0606906	0.105811	0.137753	0.106684	0.149356	0.046384	0.119692	0.14043	0.155887	0.0780182	0.0934886	0.0949813	0.0762221	0.10029	0.0791944	0.0864461	0.0749829	0.119909	0.0870931	0.09343	0.0935473	0.0623939	0.11028	0.039983	0.114013	0.0767214	0.105109	0.10359	0.13126	0.113166	0.0811785	0.108738	0.0918784	0.0897357	0.147304	0.102124	0.135689	0.0399018	0.0871936	0.0916534	0.114395	0.112426	0.157613	0.103145	0.137753	0.0761078	0.0972295	0.125964	0.0955937	0.142009	0.119583	0.0787441	0.0808766	0.120346	0.0444197	0.162655	0.0987984	0.10857	0.10807	0.0940198	0.0609182	0.136	0.120899	0.0757292	0.0921614	0.0793181	0.102777	0.089151	0.0873447
Sample09	0.0599669	0.0572108	0.0970374	0.103293	0.0795667	0.0825436	0.0822313	0.0500511	0	0.0423342	0.0728967	0.0678854	0.0982689	0.0871936	0.0909306	0.102052	0.100152	0.0963407	0.0892567	0.0726524	0.0744689	0.0648533	0.098072	0.073461	0.0783795	0.0528548	0.0405854	0.069101	0.0645157	0.0710848	0.0817453	0.049682	0.0788664	0.0633037	0.0944978	0.0522158	0.066412	0.0652511	0.0521368	0.0663236	0.0438316	0.0721341	0.0644597	0.0714538	0.0442173	0.0448126	0.0789073	0.0390484	0.0570967	0.0630337	0.0908205	0.0620259	0.0728967	0.108907	0.07039	0.0710848	0.0536708	0.0846123	0.0705872	0.0580669	0.0764518	0.107494	0.0900042	0.0624204	0.0541699	0.0636302	0.0607916	0.0729317	0.0798169	0.103965	0.0796916	0.0539819	0.0530773	0.0936649	0.0686288	0.0744689	0.0677323	0.0464006	0.0548895	0.0611728	0.0579967	0.0743233	0.0573253	0.0528548	0.0546763	0.0750939	0.0857608	0.066471	0.0754289	0.047276	0.0557776	0.112061	0.0707193	0.0559316	0.0824989
Sample10	0.0621831	0.0616615	0.153758	0.131968	0.13663	0.091041	0.111251	0.0620782	0.0423342	0	0.0783795	0.0576016	0.121122	0.0836797	0.0896822	0.114299	0.0962153	0.0842366	0.0852303	0.0755038	0.102631	0.073461	0.0819213	0.103293	0.116963	0.0694831	0.0520776	0.0878527	0.0848014	0.0756916	0.0822757	0.07339	0.0824541	0.0846123	0.0893627	0.0519007	0.152843	0.0631684	0.0588722	0.0795667	0.0434203	0.0921046	0.0791533	0.0834041	0.0464173	0.0408771	0.0699663	0.0473443	0.0539611	0.0644877	0.0824541	0.06974	0.120899	0.143092	0.0805344	0.10029	0.0448126	0.0881605	0.065798	0.0535472	0.0743233	0.132255	0.0880576	0.0638771	0.0670663	0.0742144	0.0742144	0.0743596	0.0868929	0.140086	0.0614034	0.0631415	0.0645998	0.0808337	0.0862	0.0838182	0.0804493	0.0596962	0.0524939	0.137753	0.0652225	0.0904375	0.0697723	0.0627925	0.0542118	0.0799425	0.120127	0.193331	0.0561748	0.0543168	0.0623939	0.148731	0.052714	0.0651655	0.114204
Sample11	0.05438	0.0900042	0.0665893	0.0791533	0.0638221	0.209345	0.276697	0.0458571	0.0728967	0.0783795	0	0.102486	0.076954	0.103516	0.186761	0.130562	0.188197	0.14515	0.13492	0.0411012	0.0829037	0.0998779	0.102997	0.176252	0.0689429	0.0590403	0.0666486	0.110631	0.173336	0.139239	0.15399	0.0519203	0.128138	0.0889405	0.0924463	0.0696756	0.0685663	0.0831304	0.0904375	0.103219	0.0682552	0.0793181	0.0616356	0.0917095	0.080577	0.0876487	0.0859067	0.0648815	0.0946181	0.0416257	0.129604	0.0875471	0.0739976	0.0964036	0.118201	0.102777	0.0700961	0.0986654	0.0800686	0.0930801	0.158119	0.112061	0.131968	0.0408213	0.0829489	0.0798169	0.128799	0.120566	0.147304	0.0984667	0.114491	0.0752053	0.0894689	0.129469	0.116157	0.0886267	0.0902745	0.0850391	0.0905466	0.114108	0.0494626	0.122949	0.109933	0.107331	0.0495904	0.0678854	0.0726176	0.114974	0.0735321	0.0727918	0.0839108	0.0671564	0.0883153	0.0808337	0.0733545
Sample12	0.0556025	0.0508015	0.113353	0.164955	0.157865	0.100083	0.107168	0.144959	0.0678854	0.0576016	0.102486	0	0.12101	0.0833126	0.0739976	0.116558	0.0819654	0.0873952	0.102052	0.144016	0.184461	0.0944377	0.0557776	0.107658	0.097681	0.110193	0.0773055	0.108738	0.0923321	0.0873952	0.0964665	0.124371	0.086843	0.0641534	0.0665301	0.0705543	0.124371	0.0606402	0.0884189	0.100567	0.0634666	0.192791	0.192258	0.0495904	0.061558	0.0623411	0.0684104	0.0670963	0.0737463	0.14383	0.090492	0.0734255	0.0953477	0.142547	0.0579033	0.130012	0.0661476	0.0795252	0.0923321	0.074909	0.0740698	0.161003	0.0897892	0.141476	0.0882637	0.0875471	0.0727918	0.096656	0.0955937	0.118516	0.0566215	0.0917095	0.0785817	0.0598929	0.0747617	0.0603145	0.0614292	0.0804493	0.0802374	0.10404	0.080577	0.0792356	0.0991328	0.0816575	0.0465839	0.0853743	0.13084	0.129334	0.0546338	0.0718605	0.0872439	0.109588	0.0850869	0.0923891	0.175137
Sample13	0.0522158	0.09343	0.0948599	0.0552334	0.106524	0.115463	0.172984	0.0898429	0.0982689	0.121122	0.076954	0.12101	0	0.0782587	0.113823	0.107987	0.121912	0.111789	0.0720313	0.095409	0.108153	0.125591	0.127877	0.0914296	0.0574862	0.0779783	0.0906559	0.0725829	0.0830395	0.0755788	0.0908755	0.0775022	0.0750569	0.0514722	0.0711516	0.0896287	0.0701938	0.0450984	0.0619736	0.0813955	0.107658	0.109933	0.100567	0.0691962	0.0896822	0.118834	0.0682552	0.0834499	0.120566	0.0886267	0.15399	0.0698045	0.0556244	0.043496	0.0799845	0.101693	0.102558	0.0580201	0.116057	0.0860531	0.068039	0.0667972	0.0923321	0.0874458	0.121346	0.113823	0.0670963	0.132543	0.113823	0.0675799	0.0785411	0.0774234	0.115957	0.130012	0.0772663	0.0532604	0.0605397	0.0689114	0.0790301	0.0701612	0.0532196	0.0776603	0.165848	0.138738	0.0904375	0.0703245	0.0639874	0.0766828	0.100567	0.0994698	0.114587	0.0558875	0.0979413	0.115858	0.0833126
Sample14	0.0669764	0.098599	0.0858093	0.0930801	0.0884707	0.0968463	0.124011	0.127359	0.0871936	0.0836797	0.103516	0.0833126	0.0782587	0	0.0864461	0.111073	0.121572	0.11298	0.0681007	0.17663	0.199098	0.11676	0.0892038	0.0646841	0.0755413	0.106444	0.10198	0.073461	0.0718946	0.0733545	0.0771489	0.102486	0.0827233	0.0553849	0.0921046	0.100359	0.0925035	0.0567341	0.0705872	0.102413	0.102413	0.217673	0.147104	0.0902745	0.0888356	0.089151	0.0688484	0.0916534	0.0958412	0.159669	0.0782989	0.0606402	0.0722372	0.0835416	0.0848489	0.161822	0.0969099	0.0780182	0.120566	0.0739976	0.0644317	0.0958412	0.118097	0.157362	0.117888	0.110631	0.0786222	0.0919913	0.112061	0.0593789	0.086843	0.102704	0.112794	0.0756916	0.0781383	0.0646841	0.0640426	0.0796916	0.0778587	0.100986	0.0603145	0.0777395	0.10725	0.101765	0.0706202	0.101836	0.064098	0.0864955	0.0575554	0.102704	0.116659	0.111789	0.107168	0.11894	0.236445
Sample15	0.0776207	0.0850391	0.0747617	0.085858	0.100428	0.0849439	0.10807	0.178567	0.0909306	0.0896822	0.186761	0.0739976	0.113823	0.0864461	0	0.0958412	0.0855671	0.0781383	0.0870931	0.181421	0.195553	0.11354	0.0717245	0.0701612	0.130286	0.139576	0.104801	0.114587	0.074909	0.0781383	0.0914855	0.146905	0.0746883	0.0961527	0.0945579	0.0896287	0.124977	0.0736747	0.0824989	0.0896822	0.0939012	0.189679	0.210114	0.0949205	0.0789073	0.0807479	0.0853743	0.0941984	0.0959655	0.199098	0.0548895	0.0936061	0.13342	0.104116	0.0883153	0.127488	0.09343	0.0867434	0.114491	0.0824989	0.0929063	0.0797751	0.0838182	0.199098	0.111699	0.104267	0.0697723	0.103219	0.0834041	0.13663	0.0740337	0.101338	0.103665	0.065137	0.0919913	0.0941388	0.0850869	0.097358	0.0946181	0.129604	0.117065	0.0998779	0.121459	0.0757292	0.0892567	0.116861	0.107006	0.177782	0.0923891	0.0951031	0.110719	0.0987318	0.0912626	0.117785	0.198488
Sample16	0.0982032	0.0957173	0.193331	0.0892038	0.191731	0.0994022	0.0917095	0.132255	0.102052	0.114299	0.130562	0.116558	0.107987	0.111073	0.0958412	0	0.100846	0.116963	0.0964036	0.113634	0.0841433	0.0811352	0.139407	0.0795667	0.0715889	0.0941388	0.07339	0.0912071	0.0991328	0.102777	0.0800686	0.10807	0.0992	0.0925608	0.130979	0.0669465	0.125715	0.0944978	0.0965927	0.0857608	0.0859554	0.140258	0.106845	0.120677	0.107168	0.119368	0.118728	0.102486	0.102413	0.140086	0.11197	0.0893096	0.0800266	0.0944377	0.0767988	0.115072	0.0958412	0.0793181	0.103219	0.0897892	0.0924463	0.125715	0.106365	0.140086	0.0792356	0.0782185	0.0894689	0.102924	0.0787034	0.0967827	0.116257	0.0749829	0.0756916	0.119475	0.0923321	0.0731425	0.0833583	0.0823648	0.0851824	0.100152	0.0886788	0.0826334	0.105968	0.100567	0.107331	0.0740698	0.109417	0.117475	0.100846	0.0924463	0.0752425	0.177011	0.0971013	0.0755788	0.123536
Sample17	0.0787848	0.084471	0.169279	0.117785	0.194429	0.0848964	0.0860531	0.187713	0.100152	0.0962153	0.188197	0.0819654	0.121912	0.121572	0.0855671	0.100846	0	0.0944377	0.104116	0.191209	0.164662	0.11188	0.109076	0.0801107	0.134163	0.144959	0.109846	0.0937239	0.0778986	0.0989318	0.0792768	0.148938	0.0910963	0.10148	0.0859067	0.0969736	0.14999	0.0805344	0.0886788	0.0958412	0.102124	0.203604	0.232543	0.0983347	0.0976162	0.0996734	0.111699	0.105264	0.104724	0.194988	0.103516	0.104955	0.128138	0.136948	0.0670663	0.115759	0.0996734	0.112426	0.121234	0.103441	0.0949813	0.133864	0.103293	0.197292	0.105342	0.0825436	0.0889405	0.0834957	0.0676408	0.139407	0.0770708	0.104955	0.108907	0.0992673	0.0995376	0.100567	0.0927332	0.101622	0.0929063	0.130701	0.126847	0.0647686	0.0960278	0.102124	0.0945579	0.0744324	0.169279	0.172288	0.0963407	0.102558	0.114877	0.118306	0.0946181	0.121122	0.145534
Sample18	0.0752425	0.0998779	0.121912	0.0717584	0.166759	0.0873447	0.11028	0.159933	0.0963407	0.0842366	0.14515	0.0873952	0.111789	0.11298	0.0781383	0.116963	0.0944377	0	0.0435416	0.120566	0.133272	0.0862983	0.0776207	0.0713192	0.124491	0.0901662	0.081352	0.118097	0.0767988	0.0905466	0.0596962	0.140086	0.0651655	0.103965	0.113729	0.0591609	0.119475	0.076954	0.080322	0.0840036	0.0608422	0.11298	0.115463	0.110719	0.0878527	0.0906559	0.0756539	0.09343	0.0684104	0.165848	0.0696113	0.100221	0.178567	0.100083	0.104724	0.119475	0.0747617	0.133716	0.0864955	0.0978761	0.0999463	0.0872439	0.0766056	0.165251	0.109502	0.0913739	0.0694192	0.0999463	0.085858	0.115463	0.0639598	0.0646278	0.0797751	0.0829037	0.106845	0.109417	0.0922182	0.0862	0.0985328	0.150417	0.118411	0.107331	0.0982689	0.0767988	0.0694192	0.11188	0.161003	0.208588	0.0951641	0.0782989	0.0884707	0.0903288	0.0658851	0.0917095	0.174048
Sample19	0.0741059	0.113823	0.114013	0.0603894	0.126719	0.0933131	0.124491	0.134163	0.0892567	0.0852303	0.13492	0.102052	0.0720313	0.0681007	0.0870931	0.0964036	0.104116	0.0435416	0	0.117578	0.121122	0.0828585	0.0886788	0.0683483	0.0796083	0.0896822	0.087955	0.0835416	0.0597453	0.0686288	0.0539611	0.107987	0.0630876	0.0775812	0.125099	0.0678854	0.0924463	0.0604645	0.065798	0.0863968	0.0777792	0.137107	0.084424	0.120236	0.0766828	0.0894689	0.0719971	0.0818332	0.0720313	0.145727	0.0782587	0.0682243	0.0924463	0.0755413	0.100428	0.125591	0.0749459	0.0883671	0.0946784	0.0760698	0.0691644	0.0739976	0.0947993	0.146509	0.105032	0.0927332	0.0612239	0.107412	0.0878527	0.0749829	0.0734255	0.0762985	0.0855188	0.0782989	0.0754664	0.084424	0.0708518	0.0686288	0.0708518	0.102924	0.0800686	0.0803644	0.118306	0.0801107	0.0772663	0.116659	0.0841433	0.139916	0.102413	0.0805344	0.0947388	0.10234	0.0690693	0.0971013	0.150849
Sample20	0.0860531	0.103145	0.091822	0.074615	0.0917095	0.205675	0.25242	0.0502745	0.0726524	0.0755038	0.0411012	0.144016	0.095409	0.17663	0.181421	0.113634	0.191209	0.120566	0.117578	0	0.0659433	0.0804068	0.135226	0.146706	0.0853743	0.0526539	0.0611983	0.119261	0.176252	0.148114	0.132688	0.0565541	0.123066	0.15307	0.155645	0.0634122	0.109076	0.115267	0.0907656	0.102486	0.0631955	0.0796916	0.0571651	0.134464	0.0809626	0.0877506	0.102631	0.0627925	0.0841433	0.0391934	0.118516	0.0899503	0.11566	0.105732	0.150849	0.105187	0.0631415	0.110106	0.0705872	0.0913182	0.162376	0.113353	0.130424	0.0393922	0.0815263	0.0764518	0.132688	0.110193	0.124491	0.11894	0.133567	0.0670063	0.0782989	0.14515	0.123536	0.158887	0.134767	0.0760698	0.0878016	0.165848	0.0617912	0.181421	0.109076	0.0947993	0.0779384	0.0880063	0.0946784	0.183572	0.106047	0.0671564	0.0731425	0.0915414	0.073639	0.0700636	0.0767601
Sample21	0.116157	0.0967193	0.108822	0.120456	0.100916	0.117888	0.127359	0.0953477	0.0744689	0.102631	0.0829037	0.184461	0.108153	0.199098	0.195553	0.0841433	0.164662	0.133272	0.121122	0.0659433	0	0.0311445	0.186292	0.127359	0.0899503	0.0630068	0.0450984	0.155166	0.139745	0.170592	0.13342	0.0880576	0.156129	0.156129	0.193331	0.0565317	0.13342	0.157613	0.08157	0.0677323	0.0631955	0.0698691	0.0527743	0.118201	0.066827	0.0709182	0.147505	0.0752425	0.065137	0.0850869	0.129876	0.147104	0.103367	0.151946	0.155645	0.0926182	0.0717924	0.131683	0.0744324	0.10857	0.130149	0.125715	0.118411	0.0841899	0.0543168	0.0557338	0.117888	0.104495	0.10389	0.167067	0.116257	0.0456293	0.0468017	0.176252	0.159146	0.0951031	0.128138	0.0744324	0.10774	0.151946	0.103293	0.13759	0.107331	0.0974869	0.0892567	0.0749829	0.154457	0.170592	0.132543	0.0653942	0.048228	0.150849	0.086843	0.0472248	0.0763751
Sample22	0.0910963	0.0785817	0.126215	0.125591	0.120018	0.0879038	0.097681	0.115957	0.0648533	0.073461	0.0998779	0.0944377	0.125591	0.11676	0.11354	0.0811352	0.11188	0.0862983	0.0828585	0.0804068	0.0311445	0	0.111609	0.101693	0.0952252	0.0674281	0.0440779	0.120677	0.0910963	0.10807	0.0883671	0.0998096	0.10774	0.108822	0.116157	0.0498845	0.151946	0.10198	0.0721341	0.0628192	0.0535061	0.0801107	0.0593303	0.0944978	0.0548468	0.0567341	0.108319	0.0681933	0.0477572	0.106604	0.0980066	0.102704	0.112518	0.17026	0.105498	0.0893096	0.0552118	0.116861	0.0636576	0.0846595	0.0908205	0.132399	0.0970374	0.106047	0.0527743	0.049118	0.0888356	0.0893627	0.081092	0.184461	0.0817892	0.04164	0.0415401	0.111609	0.114587	0.0807051	0.098072	0.061558	0.0848489	0.14515	0.10198	0.0969099	0.0878016	0.0716566	0.0665893	0.0703573	0.178173	0.167376	0.0923321	0.0539611	0.0451463	0.187235	0.0685038	0.0464838	0.0912626
Sample23	0.0635756	0.0806624	0.0724788	0.106444	0.146312	0.121798	0.137429	0.143092	0.098072	0.0819213	0.102997	0.0557776	0.127877	0.0892038	0.0717245	0.139407	0.109076	0.0776207	0.0886788	0.135226	0.186292	0.111609	0	0.0998779	0.112061	0.112243	0.103665	0.118622	0.112335	0.0874458	0.110193	0.146706	0.109588	0.0750939	0.0776207	0.0960902	0.0924463	0.081092	0.106524	0.107905	0.0902203	0.199716	0.202933	0.0648533	0.0878016	0.0827683	0.0613777	0.0972937	0.0897892	0.164079	0.066827	0.102558	0.10359	0.105654	0.0849915	0.153758	0.0724442	0.0800266	0.0855188	0.0936649	0.101622	0.124491	0.0946784	0.161822	0.111251	0.104116	0.0786222	0.0951641	0.0993347	0.145341	0.0687855	0.0961527	0.105342	0.0467178	0.102924	0.0704228	0.0811785	0.107822	0.102924	0.128799	0.0866937	0.0855188	0.111162	0.0969099	0.0636302	0.098599	0.123418	0.141125	0.0707193	0.100152	0.108403	0.108822	0.0996054	0.111251	0.176252
