	Sample01	Sample02	Sample03	Sample04	Sample05	Sample06	Sample07	Sample08	Sample09	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample40	Sample41	Sample42	Sample43	Sample44	Sample45	Sample46	Sample47	Sample48	Sample49	Sample50	Sample51	Sample52	Sample53	Sample54	Sample55	Sample56	Sample57	Sample58	Sample59	Sample60	Sample61	Sample62	Sample63	Sample64	Sample65	Sample66	Sample67	Sample68	Sample69	Sample70	Sample71	Sample72	Sample73	Sample74	Sample75	Sample76	Sample77	Sample78	Sample79	Sample80	Sample81	Sample82	Sample83	Sample84	Sample85	Sample86	Sample87	Sample88	Sample89	Sample90	Sample91	Sample92	Sample93	Sample94	Sample95
Sample24	0.0876996	0.112152	0.0959655	0.0659142	0.108991	0.0884189	0.0902203	0.161274	0.073461	0.103293	0.176252	0.107658	0.0914296	0.0646841	0.0701612	0.0795667	0.0801107	0.0713192	0.0683483	0.146706	0.127359	0.101693	0.0998779	0	0.0811785	0.114491	0.0969099	0.0553416	0.056644	0.0593546	0.0639322	0.102777	0.0729668	0.0682243	0.116659	0.0853743	0.0773055	0.06019	0.076184	0.0902745	0.0909857	0.189679	0.12974	0.114299	0.105498	0.113729	0.0857608	0.0992	0.0934886	0.216771	0.0851824	0.0926182	0.0741782	0.0842366	0.066708	0.0967827	0.0940198	0.0926182	0.106524	0.0908755	0.0741782	0.068535	0.101409	0.218593	0.122833	0.0930801	0.0625794	0.0974224	0.0739256	0.0721684	0.0873447	0.0852783	0.0959655	0.0773448	0.0679775	0.0764134	0.0632766	0.0720998	0.0619475	0.0672468	0.0886267	0.0634666	0.0828585	0.0729317	0.0925608	0.0931382	0.0784198	0.0823648	0.0817014	0.10374	0.0996054	0.117167	0.0830849	0.10198	0.207109
Sample25	0.0638496	0.0599917	0.0923321	0.0606906	0.0709847	0.132833	0.169279	0.106684	0.0783795	0.116963	0.0689429	0.097681	0.0574862	0.0755413	0.130286	0.0715889	0.134163	0.124491	0.0796083	0.0853743	0.0899503	0.0952252	0.112061	0.0811785	0	0.0550181	0.071018	0.0909857	0.100916	0.0896287	0.076954	0.0875471	0.0912071	0.0563528	0.0959655	0.084424	0.0700311	0.0633308	0.0746517	0.10029	0.0762603	0.0951031	0.0693234	0.0711516	0.0819654	0.0969099	0.0789482	0.0724096	0.0875979	0.103516	0.11354	0.0799845	0.0358221	0.0652511	0.0833583	0.151725	0.0931382	0.0473443	0.0967827	0.0791944	0.0719629	0.101409	0.120127	0.101056	0.101908	0.0939012	0.0690693	0.0852303	0.0842834	0.0545914	0.0940198	0.0810057	0.0876487	0.0949813	0.0715213	0.0588483	0.0538987	0.0597944	0.0765671	0.0687541	0.0593061	0.0714538	0.158119	0.111519	0.0562415	0.0827233	0.0665597	0.0968463	0.0645437	0.0841433	0.0860042	0.107987	0.101409	0.0849439	0.0773448
Sample26	0.0686288	0.0680698	0.0799425	0.0683172	0.0648533	0.10857	0.157362	0.0482632	0.0528548	0.0694831	0.0590403	0.110193	0.0779783	0.106444	0.139576	0.0941388	0.144959	0.0901662	0.0896822	0.0526539	0.0630068	0.0674281	0.112243	0.114491	0.0550181	0	0.0326803	0.0994698	0.121912	0.106845	0.0967193	0.0561083	0.106684	0.107412	0.126215	0.062262	0.102486	0.0867434	0.0603894	0.076954	0.0475157	0.066827	0.0493716	0.0817014	0.0585621	0.0604144	0.0853743	0.0548681	0.0593546	0.059525	0.0908755	0.0721684	0.0840036	0.101267	0.120236	0.097811	0.0553849	0.0931964	0.063385	0.0851346	0.0914855	0.0852303	0.0900042	0.0587765	0.068039	0.0608169	0.0835416	0.073037	0.0854224	0.106206	0.0766056	0.0467513	0.0605146	0.104495	0.0918784	0.120566	0.0874458	0.054128	0.0769152	0.126215	0.0550825	0.127102	0.0981375	0.0822313	0.0569603	0.074396	0.0756916	0.15307	0.086545	0.0506501	0.0584199	0.0923891	0.0751681	0.0578102	0.0591609
Sample27	0.0653369	0.0630606	0.0902745	0.086102	0.0783795	0.0931382	0.11566	0.0606906	0.0405854	0.0520776	0.0666486	0.0773055	0.0906559	0.10198	0.104801	0.07339	0.109846	0.081352	0.087955	0.0611983	0.0450984	0.0440779	0.103665	0.0969099	0.071018	0.0326803	0	0.0987984	0.101056	0.0957173	0.0902203	0.0625528	0.0931964	0.0976162	0.101267	0.0352608	0.107822	0.0809196	0.0584199	0.0548254	0.0381928	0.0682862	0.0512216	0.0757292	0.0480529	0.0485989	0.0832214	0.0476535	0.0508205	0.0647686	0.0974224	0.0708186	0.0972937	0.12101	0.0949205	0.0843302	0.0451304	0.0983347	0.056847	0.0678854	0.0788664	0.0892038	0.0744689	0.0641257	0.036071	0.0399153	0.0720998	0.074396	0.0700961	0.121459	0.069101	0.0293575	0.0353885	0.0985328	0.088993	0.066708	0.0794422	0.0478612	0.0684727	0.124977	0.0652511	0.107331	0.0694831	0.0585859	0.0463674	0.0592334	0.102777	0.153298	0.0796083	0.0438316	0.036071	0.104955	0.0639874	0.0357513	0.0689429
Sample28	0.0812652	0.119368	0.114877	0.0764518	0.149777	0.0993347	0.0897357	0.105811	0.069101	0.0878527	0.110631	0.108738	0.0725829	0.073461	0.114587	0.0912071	0.0937239	0.118097	0.0835416	0.119261	0.155166	0.120677	0.118622	0.0553416	0.0909857	0.0994698	0.0987984	0	0.0512408	0.0468017	0.0671264	0.0835876	0.073461	0.0568923	0.093842	0.0906012	0.083267	0.0473956	0.068039	0.087955	0.0864955	0.173336	0.156129	0.0880063	0.0931964	0.103367	0.0840501	0.0825885	0.108822	0.139239	0.120677	0.0549323	0.0705543	0.0634666	0.0880063	0.118097	0.0972937	0.0886267	0.129065	0.0718946	0.0690377	0.084424	0.134767	0.139745	0.105342	0.0749829	0.0642645	0.0857608	0.0841899	0.0650801	0.105576	0.10359	0.113259	0.117065	0.0603145	0.0624468	0.0594032	0.0674281	0.0482105	0.0681315	0.0606654	0.0585147	0.0792356	0.0881605	0.0872439	0.0705214	0.0644597	0.0681624	0.0866937	0.0884189	0.103145	0.114108	0.104419	0.106285	0.13538
Sample29	0.0768763	0.105654	0.111609	0.0850869	0.10774	0.0617393	0.0591609	0.137753	0.0645157	0.0848014	0.173336	0.0923321	0.0830395	0.0718946	0.074909	0.0991328	0.0778986	0.0767988	0.0597453	0.176252	0.139745	0.0910963	0.112335	0.056644	0.100916	0.121912	0.101056	0.0512408	0	0.0560198	0.0459717	0.0933715	0.0701612	0.0656533	0.117578	0.0811785	0.087955	0.0559095	0.0649949	0.0750198	0.0925035	0.139239	0.161822	0.115365	0.0830395	0.0903831	0.0898966	0.0865945	0.0786222	0.175137	0.0870931	0.0723406	0.0829037	0.0902203	0.0836797	0.0932547	0.0915974	0.0923321	0.119909	0.074909	0.0747985	0.0858093	0.0899503	0.172984	0.0965927	0.0757292	0.0702918	0.0743233	0.0616356	0.0900042	0.0820096	0.09343	0.0960902	0.0876996	0.0702918	0.0775812	0.0670063	0.0664415	0.0632225	0.0741782	0.0818332	0.0526739	0.0561083	0.0645998	0.0895754	0.0964665	0.0763368	0.0884189	0.102413	0.0863475	0.0990657	0.111789	0.0886788	0.106126	0.180176
Sample30	0.0723406	0.10148	0.114587	0.0732484	0.156373	0.0849439	0.0936649	0.106684	0.0710848	0.0756916	0.139239	0.0873952	0.0755788	0.0733545	0.0781383	0.102777	0.0989318	0.0905466	0.0686288	0.148114	0.170592	0.10807	0.0874458	0.0593546	0.0896287	0.106845	0.0957173	0.0468017	0.0560198	0	0.0624998	0.105342	0.0623939	0.0703573	0.10198	0.0821868	0.108991	0.0419274	0.0558435	0.0823203	0.0855671	0.177782	0.16322	0.107576	0.0752797	0.0820096	0.0790711	0.0762603	0.0857123	0.151946	0.106845	0.0646278	0.0682243	0.085858	0.0773055	0.122949	0.0833583	0.0825885	0.114395	0.0678241	0.0649949	0.0760698	0.0960902	0.15307	0.106285	0.091041	0.0520382	0.0989987	0.0721684	0.0771489	0.0771489	0.0920479	0.102196	0.103441	0.0536089	0.0708186	0.0511448	0.0593789	0.0438163	0.0865945	0.0611217	0.069101	0.107168	0.0925608	0.0829942	0.104116	0.0653656	0.104724	0.0949813	0.0884189	0.103071	0.10359	0.0869429	0.109417	0.161822
Sample31	0.074396	0.0996734	0.213325	0.0774628	0.231311	0.0728967	0.0676103	0.149356	0.0817453	0.0822757	0.15399	0.0964665	0.0908755	0.0771489	0.0914855	0.0800686	0.0792768	0.0596962	0.0539611	0.132688	0.13342	0.0883671	0.110193	0.0639322	0.076954	0.0967193	0.0902203	0.0671264	0.0459717	0.0624998	0	0.117888	0.0652225	0.0815263	0.118728	0.0748353	0.135844	0.0620259	0.0673373	0.0789482	0.0764518	0.126593	0.10976	0.118728	0.0813955	0.0840501	0.0947993	0.0887833	0.0734965	0.169279	0.0991328	0.0792356	0.0760318	0.0990657	0.0713192	0.0931382	0.0732484	0.0848964	0.0935473	0.0760698	0.0731778	0.10404	0.096656	0.169279	0.0827233	0.0773841	0.0756163	0.0662649	0.047293	0.0909306	0.0781383	0.0787441	0.0829942	0.108991	0.0727569	0.0808766	0.066827	0.0631145	0.0594032	0.101551	0.0825885	0.063385	0.0630606	0.0812218	0.0793594	0.0980066	0.0954705	0.119692	0.0914296	0.0855188	0.0952864	0.120677	0.0766828	0.0999463	0.156129
Sample32	0.0678547	0.0959655	0.0930801	0.0781383	0.0903831	0.146312	0.121234	0.046384	0.049682	0.07339	0.0519203	0.124371	0.0775022	0.102486	0.146905	0.10807	0.148938	0.140086	0.107987	0.0565541	0.0880576	0.0998096	0.146706	0.102777	0.0875471	0.0561083	0.0625528	0.0835876	0.0933715	0.105342	0.117888	0	0.102052	0.0810488	0.147505	0.0695792	0.0670963	0.0796083	0.0741782	0.0896822	0.077819	0.0907656	0.0789073	0.116357	0.0777395	0.0840967	0.0863475	0.0562637	0.0992	0.0463177	0.115463	0.0656244	0.0923891	0.0898429	0.117167	0.0820539	0.0732131	0.0851824	0.0876996	0.0778587	0.104191	0.0987318	0.126089	0.0462185	0.0759559	0.0866937	0.09343	0.102413	0.127359	0.0842366	0.119475	0.0728267	0.0854706	0.125222	0.0862	0.106926	0.0989318	0.0716566	0.0777395	0.0780582	0.0511256	0.0998096	0.0781383	0.0808766	0.0920479	0.0859554	0.0704885	0.0955321	0.108153	0.0716566	0.0824989	0.0850869	0.096278	0.0799425	0.0799845
Sample33	0.066412	0.100359	0.13126	0.0655091	0.148524	0.0909306	0.108907	0.119692	0.0788664	0.0824541	0.128138	0.086843	0.0750569	0.0827233	0.0746883	0.0992	0.0910963	0.0651655	0.0630876	0.123066	0.156129	0.10774	0.109588	0.0729668	0.0912071	0.106684	0.0931964	0.073461	0.0701612	0.0623939	0.0652225	0.102052	0	0.0760318	0.101551	0.0776207	0.0885226	0.0537121	0.0607411	0.0665301	0.0715889	0.148938	0.168956	0.105811	0.0654229	0.0789891	0.0773841	0.0730018	0.0872439	0.148524	0.0992673	0.0581372	0.0884707	0.0821868	0.0878016	0.110455	0.0867434	0.0828585	0.110193	0.0607916	0.068039	0.0818332	0.0963407	0.148731	0.105109	0.0939605	0.0623675	0.109933	0.087043	0.0786222	0.0803644	0.0820096	0.0929063	0.110631	0.0596962	0.0755038	0.0630606	0.0656244	0.056644	0.0989318	0.0682862	0.0807051	0.101551	0.0977459	0.0835416	0.0946181	0.0756163	0.127488	0.101693	0.0917095	0.107905	0.0763368	0.0746517	0.114204	0.153758
Sample34	0.0600164	0.0746517	0.114204	0.0862	0.126974	0.101908	0.0930221	0.14043	0.0633037	0.0846123	0.0889405	0.0641534	0.0514722	0.0553849	0.0961527	0.0925608	0.10148	0.103965	0.0775812	0.15307	0.156129	0.108822	0.0750939	0.0682243	0.0563528	0.107412	0.0976162	0.0568923	0.0656533	0.0703573	0.0815263	0.0810488	0.0760318	0	0.0537949	0.0894689	0.0566215	0.0448126	0.0780582	0.0932547	0.0960902	0.222464	0.198488	0.05324	0.086843	0.0935473	0.0561305	0.0869929	0.0952252	0.162098	0.0934886	0.0684727	0.0581137	0.0575092	0.067916	0.100359	0.0971013	0.0618432	0.123183	0.0723406	0.0674281	0.107494	0.120899	0.15863	0.105811	0.0986654	0.0732131	0.110455	0.106047	0.0659433	0.0631684	0.0880063	0.103293	0.0721684	0.063385	0.037837	0.0494626	0.0768375	0.0695472	0.0461689	0.0600411	0.0531993	0.0785411	0.0741782	0.0608169	0.0634394	0.0729317	0.0500325	0.0616615	0.10359	0.104801	0.0941388	0.102196	0.107087	0.189679
Sample35	0.0575785	0.0599669	0.103367	0.157362	0.127359	0.0969736	0.127877	0.155887	0.0944978	0.0893627	0.0924463	0.0665301	0.0711516	0.0921046	0.0945579	0.130979	0.0859067	0.113729	0.125099	0.155645	0.193331	0.116157	0.0776207	0.116659	0.0959655	0.126215	0.101267	0.093842	0.117578	0.10198	0.118728	0.147505	0.101551	0.0537949	0	0.0983347	0.0931964	0.0684727	0.0918784	0.0996734	0.0952864	0.200976	0.212502	0.0583726	0.0887833	0.0895221	0.0918784	0.095409	0.0996734	0.173336	0.0838182	0.0930801	0.0812652	0.0846595	0.0731778	0.117475	0.0913739	0.0840967	0.115267	0.0981375	0.0957792	0.16322	0.110895	0.169279	0.111073	0.104267	0.0949813	0.0925608	0.105968	0.116659	0.0837258	0.117372	0.103815	0.0786628	0.0880063	0.058349	0.0726524	0.103145	0.0994698	0.0768375	0.0933715	0.0801107	0.121685	0.108907	0.0645157	0.0686914	0.115169	0.0884707	0.0698691	0.0972937	0.0988651	0.106604	0.112702	0.103145	0.100498
Sample36	0.0602646	0.0738897	0.122717	0.0801951	0.132399	0.0950421	0.103219	0.0780182	0.0522158	0.0519007	0.0696756	0.0705543	0.0896287	0.100359	0.0896287	0.0669465	0.0969736	0.0591609	0.0678854	0.0634122	0.0565317	0.0498845	0.0960902	0.0853743	0.084424	0.062262	0.0352608	0.0906012	0.0811785	0.0821868	0.0748353	0.0695792	0.0776207	0.0894689	0.0983347	0	0.118411	0.0696756	0.0624998	0.0598929	0.0402554	0.080322	0.0608928	0.0933715	0.0545914	0.0592576	0.0809626	0.0532196	0.0558875	0.071018	0.081352	0.0674584	0.105654	0.110631	0.0909857	0.0870931	0.0466675	0.0870931	0.0586572	0.0619214	0.0819213	0.100567	0.0752425	0.0718265	0.0501068	0.0519596	0.0674584	0.0904375	0.0770708	0.0998096	0.0717584	0.0395121	0.0401461	0.0951031	0.086151	0.0619736	0.0759181	0.0540653	0.0658851	0.125222	0.0707523	0.0907107	0.0775417	0.0583254	0.0528146	0.0586811	0.121346	0.153758	0.0755788	0.0483336	0.040933	0.102196	0.0510109	0.0412562	0.0960902
Sample37	0.0618172	0.118622	0.0757669	0.0668569	0.0842834	0.139916	0.110543	0.0934886	0.066412	0.152843	0.0685663	0.124371	0.0701938	0.0925035	0.124977	0.125715	0.14999	0.119475	0.0924463	0.109076	0.13342	0.151946	0.0924463	0.0773055	0.0700311	0.102486	0.107822	0.083267	0.087955	0.108991	0.135844	0.0670963	0.0885226	0.0566215	0.0931964	0.118411	0	0.0759939	0.103516	0.116659	0.14183	0.175506	0.154223	0.105576	0.140776	0.196126	0.0632225	0.10374	0.200976	0.10389	0.101267	0.0911516	0.0732484	0.0660891	0.0990657	0.0958412	0.139407	0.0931964	0.17663	0.117992	0.114299	0.0941984	0.151504	0.102851	0.122833	0.128799	0.0864461	0.12237	0.162098	0.0818772	0.136788	0.112702	0.134464	0.105498	0.0791533	0.0716566	0.0829037	0.0959033	0.0886267	0.0513178	0.0756163	0.0796499	0.0971654	0.0976162	0.0745419	0.0839108	0.0612751	0.0632766	0.0895221	0.122026	0.129334	0.0806624	0.204974	0.128007	0.114491
Sample38	0.0422758	0.0759181	0.0984667	0.0579266	0.105109	0.084424	0.105264	0.0949813	0.0652511	0.0631684	0.0831304	0.0606402	0.0450984	0.0567341	0.0736747	0.0944978	0.0805344	0.076954	0.0604645	0.115267	0.157613	0.10198	0.081092	0.06019	0.0633308	0.0867434	0.0809196	0.0473956	0.0559095	0.0419274	0.0620259	0.0796083	0.0537121	0.0448126	0.0684727	0.0696756	0.0759939	0	0.0470549	0.0739616	0.0717245	0.165549	0.15399	0.0579967	0.0642645	0.0696756	0.0557996	0.0613007	0.0800266	0.10857	0.105032	0.0523347	0.0572566	0.0542538	0.0638221	0.115169	0.0708186	0.0635483	0.103665	0.0575554	0.0532604	0.070885	0.0892038	0.109331	0.0944978	0.0899503	0.0463509	0.0928485	0.0732131	0.0615322	0.0618953	0.0775812	0.0919348	0.0901121	0.0535266	0.0432843	0.0432843	0.0563751	0.0462019	0.0783795	0.0477226	0.0578102	0.101693	0.0852303	0.0502185	0.0700961	0.0582547	0.0782587	0.0626325	0.0732837	0.0919348	0.0734965	0.0760318	0.0949205	0.132979
Sample39	0.0586334	0.0740698	0.107905	0.0706202	0.0978761	0.0682243	0.108822	0.0762221	0.0521368	0.0588722	0.0904375	0.0884189	0.0619736	0.0705872	0.0824989	0.0965927	0.0886788	0.080322	0.065798	0.0907656	0.08157	0.0721341	0.106524	0.076184	0.0746517	0.0603894	0.0584199	0.068039	0.0649949	0.0558435	0.0673373	0.0741782	0.0607411	0.0780582	0.0918784	0.0624998	0.103516	0.0470549	0	0.040947	0.052694	0.0795252	0.074396	0.087043	0.0494261	0.0524341	0.0766056	0.05569	0.0602646	0.0864955	0.0862	0.0614292	0.0709847	0.0836797	0.0856638	0.0777792	0.0567115	0.077188	0.0752053	0.0596227	0.0636302	0.0699015	0.0790301	0.086545	0.0721684	0.069101	0.0520382	0.0715889	0.0722028	0.0779384	0.0670963	0.056847	0.0679775	0.103367	0.067916	0.0799006	0.056689	0.050014	0.053057	0.102413	0.0572108	0.0820539	0.0863475	0.0768375	0.0665597	0.0867434	0.0778587	0.110807	0.0770319	0.0577869	0.0674888	0.088993	0.0631145	0.0701938	0.0785411
Sample40	0.0687541	0.0878527	0.11566	0.0925608	0.116457	0.0753916	0.104724	0.10029	0.0663236	0.0795667	0.103219	0.100567	0.0813955	0.102413	0.0896822	0.0857608	0.0958412	0.0840036	0.0863968	0.102486	0.0677323	0.0628192	0.107905	0.0902745	0.10029	0.076954	0.0548254	0.087955	0.0750198	0.0823203	0.0789482	0.0896822	0.0665301	0.0932547	0.0996734	0.0598929	0.116659	0.0739616	0.040947	0	0.0650232	0.0849439	0.0834041	0.0903288	0.0640426	0.0677629	0.0995376	0.0729317	0.0672769	0.102124	0.0958412	0.084471	0.0959655	0.109161	0.106845	0.0799845	0.0699663	0.102997	0.0833126	0.0785411	0.086843	0.0903831	0.0781784	0.101693	0.0639598	0.0600659	0.0722716	0.0857123	0.084424	0.116659	0.0809196	0.0516469	0.0574401	0.117992	0.089151	0.0724096	0.0829037	0.067916	0.0758424	0.123536	0.0809196	0.100916	0.0841433	0.0806624	0.0821868	0.0755038	0.110368	0.13759	0.0997414	0.0693553	0.0610707	0.0919913	0.0631145	0.0621306	0.0883153
Sample41	0.0637398	0.0556025	0.0937829	0.0968463	0.0906012	0.0732131	0.10976	0.0791944	0.0438316	0.0434203	0.0682552	0.0634666	0.107658	0.102413	0.0939012	0.0859554	0.102124	0.0608422	0.0777792	0.0631955	0.0631955	0.0535061	0.0902203	0.0909857	0.0762603	0.0475157	0.0381928	0.0864955	0.0925035	0.0855671	0.0764518	0.077819	0.0715889	0.0960902	0.0952864	0.0402554	0.14183	0.0717245	0.052694	0.0650232	0	0.0531586	0.0375603	0.0723406	0.0368308	0.0357867	0.0782185	0.0439084	0.039167	0.069228	0.0933131	0.0637398	0.0995376	0.117065	0.0903831	0.0863968	0.0352724	0.0977459	0.0494626	0.0577173	0.076184	0.106047	0.0780182	0.0689745	0.056197	0.0538571	0.0646278	0.0697723	0.0698368	0.130562	0.0626059	0.040228	0.0429545	0.0908755	0.0920479	0.0937829	0.0747985	0.0450984	0.0616615	0.157113	0.0720313	0.0996054	0.0725482	0.0578567	0.0355869	0.0716905	0.151504	0.232543	0.0610707	0.036527	0.043755	0.129604	0.0501254	0.0454675	0.0679775
Sample42	0.111699	0.0902745	0.103071	0.156865	0.097811	0.112518	0.164662	0.0864461	0.0721341	0.0921046	0.0793181	0.192791	0.109933	0.217673	0.189679	0.140258	0.203604	0.11298	0.137107	0.0796916	0.0698691	0.0801107	0.199716	0.189679	0.0951031	0.066827	0.0682862	0.173336	0.139239	0.177782	0.126593	0.0907656	0.148938	0.222464	0.200976	0.080322	0.175506	0.165549	0.0795252	0.0849439	0.0531586	0	0.0456617	0.11566	0.0682243	0.0695151	0.163791	0.0740698	0.0738179	0.0743596	0.119909	0.153528	0.102196	0.172288	0.194988	0.0939605	0.0792356	0.130149	0.0812218	0.106285	0.130562	0.128799	0.106047	0.0742869	0.0786222	0.0828585	0.113446	0.104648	0.11566	0.186292	0.116057	0.0681315	0.0771099	0.198488	0.177782	0.204284	0.129604	0.0784602	0.103071	0.201619	0.0982032	0.206387	0.110543	0.108907	0.0992	0.0949205	0.174408	0.279978	0.127102	0.0673676	0.0742144	0.147505	0.0943778	0.07339	0.07039
Sample43	0.107168	0.0867434	0.0960278	0.0930221	0.0887833	0.121346	0.201619	0.0749829	0.0644597	0.0791533	0.0616356	0.192258	0.100567	0.147104	0.210114	0.106845	0.232543	0.115463	0.084424	0.0571651	0.0527743	0.0593303	0.202933	0.12974	0.0693234	0.0493716	0.0512216	0.156129	0.161822	0.16322	0.10976	0.0789073	0.168956	0.198488	0.212502	0.0608928	0.154223	0.15399	0.074396	0.0834041	0.0375603	0.0456617	0	0.111789	0.0469534	0.0543379	0.148319	0.0589922	0.0484925	0.0621569	0.107658	0.123066	0.0951031	0.154928	0.190183	0.0974869	0.0531993	0.1198	0.055061	0.0917657	0.120236	0.121912	0.115169	0.0619475	0.0679775	0.0678241	0.108654	0.101267	0.0969736	0.151285	0.111519	0.053383	0.0525938	0.192258	0.164079	0.186292	0.117785	0.0621569	0.0955321	0.190693	0.0884707	0.191209	0.109502	0.0863968	0.0685975	0.0991328	0.154692	0.23782	0.120456	0.0542748	0.0587049	0.14383	0.0656244	0.0576247	0.0614549
Sample44	0.0578334	0.0533012	0.0787848	0.144959	0.0883153	0.104191	0.130012	0.119909	0.0714538	0.0834041	0.0917095	0.0495904	0.0691962	0.0902745	0.0949205	0.120677	0.0983347	0.110719	0.120236	0.134464	0.118201	0.0944978	0.0648533	0.114299	0.0711516	0.0817014	0.0757292	0.0880063	0.115365	0.107576	0.118728	0.116357	0.105811	0.05324	0.0583726	0.0933715	0.105576	0.0579967	0.087043	0.0903288	0.0723406	0.11566	0.111789	0	0.0635483	0.0667972	0.0723406	0.0667972	0.0776207	0.12974	0.104419	0.0925608	0.0701287	0.0776603	0.0607158	0.145921	0.0886788	0.0824989	0.112518	0.0959033	0.0933131	0.152617	0.0980066	0.124855	0.0869429	0.0851346	0.0714201	0.0897892	0.0962153	0.107905	0.0712521	0.0881605	0.0846123	0.0706202	0.0741782	0.0395924	0.0654516	0.0825436	0.101126	0.0842834	0.0720655	0.0920479	0.119047	0.108991	0.0505746	0.0657111	0.11028	0.0739976	0.0670363	0.0796499	0.0867434	0.0957173	0.10976	0.0874964	0.104191
Sample45	0.0635483	0.054655	0.10359	0.117065	0.0921614	0.0762603	0.109076	0.0870931	0.0442173	0.0464173	0.080577	0.061558	0.0896822	0.0888356	0.0789073	0.107168	0.0976162	0.0878527	0.0766828	0.0809626	0.066827	0.0548468	0.0878016	0.105498	0.0819654	0.0585621	0.0480529	0.0931964	0.0830395	0.0752797	0.0813955	0.0777395	0.0654229	0.086843	0.0887833	0.0545914	0.140776	0.0642645	0.0494261	0.0640426	0.0368308	0.0682243	0.0469534	0.0635483	0	0.0188613	0.0740337	0.033032	0.0344498	0.0786222	0.0739256	0.0684415	0.0873447	0.128138	0.0807051	0.0834041	0.0424367	0.0834957	0.0564869	0.0464838	0.0617393	0.103441	0.0775022	0.0783392	0.052474	0.0563305	0.056983	0.0717924	0.0746883	0.118411	0.0604895	0.0548681	0.0484748	0.0895221	0.0799006	0.0830395	0.065137	0.0483512	0.0594275	0.134464	0.0693234	0.0882637	0.0808337	0.0718265	0.0505746	0.0781383	0.120018	0.176252	0.0660599	0.0468859	0.0538779	0.117888	0.0623939	0.0559757	0.0719971
Sample46	0.0709514	0.0540236	0.114299	0.183572	0.102631	0.0740698	0.109502	0.09343	0.0448126	0.0408771	0.0876487	0.0623411	0.118834	0.089151	0.0807479	0.119368	0.0996734	0.0906559	0.0894689	0.0877506	0.0709182	0.0567341	0.0827683	0.113729	0.0969099	0.0604144	0.0485989	0.103367	0.0903831	0.0820096	0.0840501	0.0840967	0.0789891	0.0935473	0.0895221	0.0592576	0.196126	0.0696756	0.0524341	0.0677629	0.0357867	0.0695151	0.0543379	0.0667972	0.0188613	0	0.0799006	0.035622	0.0339251	0.0856638	0.0737821	0.0811352	0.102851	0.200342	0.0856638	0.0856154	0.0423196	0.0972295	0.0584199	0.0506501	0.06974	0.127617	0.0786628	0.0858093	0.0547827	0.0586334	0.0653083	0.0677018	0.0767988	0.198488	0.0576247	0.0556025	0.0517248	0.0860042	0.0956555	0.0939605	0.0761078	0.0545278	0.0609436	0.159669	0.0772663	0.0977459	0.0784602	0.0691644	0.0494444	0.0801107	0.142187	0.213325	0.057671	0.047293	0.0529962	0.130979	0.0603394	0.0553632	0.0768375
